Gene name,Conserved among nematodes,Conserved only in Caenorhabditis,Unique to C. elegans,"SET-25-dependent endo-siRNAs targets (Lev et al., 2017)","SET-32-dependent endo-siRNAs targets (Kalinava et al., 2018)"
WBGene00017030,NaN,NaN,1,NaN,NaN
WBGene00017034,1,NaN,NaN,NaN,NaN
WBGene00017036,NaN,1,NaN,NaN,NaN
WBGene00017039,1,NaN,NaN,NaN,NaN
WBGene00017042,NaN,1,NaN,NaN,NaN
WBGene00017043,NaN,NaN,1,NaN,NaN
WBGene00017048,1,NaN,NaN,NaN,NaN
WBGene00017050,1,NaN,NaN,NaN,NaN
WBGene00017052,1,NaN,NaN,NaN,NaN
WBGene00017055,1,NaN,NaN,NaN,NaN
WBGene00017056,NaN,1,NaN,NaN,NaN
WBGene00017057,NaN,1,NaN,NaN,NaN
WBGene00017060,NaN,1,NaN,NaN,NaN
WBGene00017065,1,NaN,NaN,NaN,NaN
WBGene00017067,NaN,1,NaN,NaN,NaN
WBGene00017068,NaN,1,NaN,NaN,NaN
WBGene00017073,1,NaN,NaN,NaN,NaN
WBGene00017076,NaN,1,NaN,NaN,NaN
WBGene00017078,1,NaN,NaN,NaN,NaN
WBGene00017091,1,NaN,NaN,NaN,NaN
WBGene00017092,1,NaN,NaN,NaN,NaN
WBGene00017094,NaN,1,NaN,NaN,NaN
WBGene00017095,1,NaN,NaN,NaN,NaN
WBGene00017096,NaN,1,NaN,NaN,NaN
WBGene00017097,NaN,1,NaN,NaN,NaN
WBGene00017104,NaN,NaN,1,NaN,NaN
WBGene00017105,NaN,NaN,1,NaN,NaN
WBGene00017107,1,NaN,NaN,NaN,NaN
WBGene00017109,NaN,1,NaN,NaN,NaN
WBGene00017110,NaN,1,NaN,NaN,NaN
WBGene00017111,NaN,1,NaN,NaN,NaN
WBGene00017113,NaN,1,NaN,NaN,NaN
WBGene00017115,NaN,1,NaN,NaN,NaN
WBGene00017124,NaN,1,NaN,NaN,NaN
WBGene00017128,NaN,1,NaN,NaN,NaN
WBGene00017129,NaN,1,NaN,NaN,NaN
WBGene00017130,NaN,NaN,1,NaN,NaN
WBGene00017131,1,NaN,NaN,NaN,NaN
WBGene00017139,NaN,1,NaN,NaN,NaN
WBGene00017149,NaN,1,NaN,NaN,NaN
WBGene00017150,NaN,1,NaN,NaN,NaN
WBGene00017151,1,NaN,NaN,NaN,NaN
WBGene00017152,NaN,1,NaN,NaN,1
WBGene00017154,1,NaN,NaN,NaN,NaN
WBGene00017156,1,NaN,NaN,NaN,NaN
WBGene00017168,NaN,1,NaN,NaN,NaN
WBGene00017170,1,NaN,NaN,NaN,NaN
WBGene00017176,1,NaN,NaN,NaN,NaN
WBGene00017180,NaN,1,NaN,NaN,NaN
WBGene00017183,1,NaN,NaN,NaN,NaN
WBGene00017184,1,NaN,NaN,NaN,NaN
WBGene00017185,NaN,1,NaN,NaN,NaN
WBGene00017186,NaN,NaN,1,NaN,NaN
WBGene00017188,NaN,1,NaN,NaN,1
WBGene00017189,NaN,1,NaN,NaN,NaN
WBGene00017190,1,NaN,NaN,NaN,NaN
WBGene00017191,NaN,1,NaN,NaN,NaN
WBGene00017192,NaN,1,NaN,NaN,NaN
WBGene00017193,1,NaN,NaN,NaN,NaN
WBGene00017197,NaN,1,NaN,NaN,NaN
WBGene00017198,1,NaN,NaN,NaN,NaN
WBGene00017199,1,NaN,NaN,NaN,NaN
WBGene00017200,1,NaN,NaN,NaN,NaN
WBGene00017201,NaN,1,NaN,NaN,NaN
WBGene00017202,NaN,NaN,1,NaN,NaN
WBGene00017203,1,NaN,NaN,NaN,NaN
WBGene00017204,1,NaN,NaN,NaN,NaN
WBGene00017205,1,NaN,NaN,NaN,NaN
WBGene00017207,NaN,1,NaN,NaN,NaN
WBGene00017209,NaN,NaN,1,NaN,NaN
WBGene00017216,NaN,1,NaN,NaN,NaN
WBGene00017218,1,NaN,NaN,NaN,NaN
WBGene00017224,NaN,NaN,1,NaN,NaN
WBGene00017227,NaN,1,NaN,NaN,NaN
WBGene00017228,NaN,1,NaN,NaN,NaN
WBGene00017229,NaN,1,NaN,NaN,NaN
WBGene00017230,1,NaN,NaN,NaN,NaN
WBGene00017231,1,NaN,NaN,NaN,NaN
WBGene00017233,1,NaN,NaN,NaN,NaN
WBGene00017246,1,NaN,NaN,NaN,NaN
WBGene00017247,1,NaN,NaN,NaN,NaN
WBGene00017248,NaN,1,NaN,NaN,NaN
WBGene00017257,NaN,1,NaN,NaN,NaN
WBGene00017258,NaN,1,NaN,NaN,NaN
WBGene00017260,1,NaN,NaN,NaN,NaN
WBGene00017262,1,NaN,NaN,NaN,NaN
WBGene00017266,1,NaN,NaN,NaN,NaN
WBGene00017270,NaN,1,NaN,NaN,NaN
WBGene00017276,NaN,NaN,1,NaN,NaN
WBGene00017277,1,NaN,NaN,NaN,NaN
WBGene00017278,1,NaN,NaN,NaN,NaN
WBGene00017287,NaN,NaN,1,NaN,NaN
WBGene00017294,NaN,NaN,1,NaN,NaN
WBGene00017295,NaN,1,NaN,NaN,NaN
WBGene00017297,1,NaN,NaN,NaN,NaN
WBGene00017299,1,NaN,NaN,NaN,NaN
WBGene00017305,NaN,1,NaN,NaN,NaN
WBGene00017306,1,NaN,NaN,NaN,NaN
WBGene00017307,1,NaN,NaN,NaN,NaN
WBGene00017308,NaN,1,NaN,NaN,NaN
WBGene00017309,1,NaN,NaN,NaN,NaN
WBGene00017314,1,NaN,NaN,NaN,NaN
WBGene00017315,1,NaN,NaN,NaN,NaN
WBGene00017322,1,NaN,NaN,NaN,NaN
WBGene00017323,NaN,1,NaN,NaN,NaN
WBGene00017324,NaN,NaN,1,NaN,NaN
WBGene00017326,1,NaN,NaN,NaN,NaN
WBGene00017327,NaN,NaN,1,NaN,NaN
WBGene00017329,1,NaN,NaN,NaN,NaN
WBGene00017332,1,NaN,NaN,NaN,NaN
WBGene00017333,1,NaN,NaN,NaN,NaN
WBGene00017334,1,NaN,NaN,NaN,NaN
WBGene00017335,1,NaN,NaN,NaN,NaN
WBGene00017336,1,NaN,NaN,NaN,NaN
WBGene00017337,NaN,NaN,1,NaN,NaN
WBGene00017341,NaN,1,NaN,NaN,NaN
WBGene00017345,NaN,NaN,1,NaN,NaN
WBGene00017353,NaN,1,NaN,NaN,NaN
WBGene00017366,NaN,1,NaN,NaN,NaN
WBGene00017367,NaN,NaN,1,NaN,NaN
WBGene00017371,1,NaN,NaN,NaN,NaN
WBGene00017374,1,NaN,NaN,NaN,NaN
WBGene00017375,1,NaN,NaN,NaN,NaN
WBGene00017376,1,NaN,NaN,NaN,NaN
WBGene00017378,1,NaN,NaN,NaN,NaN
WBGene00017379,1,NaN,NaN,NaN,NaN
WBGene00017382,1,NaN,NaN,NaN,NaN
WBGene00017383,NaN,1,NaN,NaN,NaN
WBGene00017388,1,NaN,NaN,NaN,NaN
WBGene00017390,NaN,1,NaN,NaN,NaN
WBGene00017394,1,NaN,NaN,NaN,NaN
WBGene00017396,NaN,1,NaN,NaN,NaN
WBGene00017399,1,NaN,NaN,NaN,NaN
WBGene00017400,1,NaN,NaN,NaN,NaN
WBGene00017403,NaN,1,NaN,NaN,NaN
WBGene00017406,1,NaN,NaN,NaN,NaN
WBGene00017408,NaN,1,NaN,NaN,NaN
WBGene00017411,NaN,NaN,1,NaN,NaN
WBGene00017414,NaN,1,NaN,NaN,NaN
WBGene00017417,NaN,1,NaN,NaN,NaN
WBGene00017418,NaN,1,NaN,NaN,NaN
WBGene00017420,NaN,1,NaN,NaN,NaN
WBGene00017421,1,NaN,NaN,NaN,NaN
WBGene00017424,NaN,1,NaN,NaN,NaN
WBGene00017426,1,NaN,NaN,NaN,NaN
WBGene00017428,1,NaN,NaN,NaN,NaN
WBGene00017436,1,NaN,NaN,NaN,NaN
WBGene00017439,NaN,1,NaN,NaN,NaN
WBGene00017446,NaN,1,NaN,NaN,NaN
WBGene00017449,1,NaN,NaN,NaN,NaN
WBGene00017455,NaN,1,NaN,NaN,NaN
WBGene00017465,NaN,NaN,1,NaN,NaN
WBGene00017466,1,NaN,NaN,NaN,NaN
WBGene00017469,NaN,NaN,1,NaN,NaN
WBGene00017470,NaN,1,NaN,NaN,NaN
WBGene00017471,1,NaN,NaN,NaN,NaN
WBGene00017473,NaN,NaN,1,NaN,NaN
WBGene00017474,NaN,1,NaN,NaN,NaN
WBGene00017475,NaN,1,NaN,NaN,NaN
WBGene00017476,NaN,1,NaN,NaN,NaN
WBGene00017477,1,NaN,NaN,NaN,NaN
WBGene00017478,1,NaN,NaN,NaN,NaN
WBGene00017483,1,NaN,NaN,NaN,NaN
WBGene00017484,1,NaN,NaN,NaN,NaN
WBGene00017485,NaN,1,NaN,NaN,NaN
WBGene00017486,NaN,NaN,1,NaN,NaN
WBGene00017488,NaN,1,NaN,NaN,NaN
WBGene00017490,NaN,1,NaN,NaN,NaN
WBGene00017491,NaN,1,NaN,NaN,NaN
WBGene00017492,NaN,1,NaN,NaN,NaN
WBGene00017493,NaN,1,NaN,NaN,NaN
WBGene00017494,NaN,1,NaN,NaN,NaN
WBGene00017496,NaN,1,NaN,NaN,NaN
WBGene00017497,NaN,1,NaN,NaN,NaN
WBGene00017498,NaN,1,NaN,NaN,NaN
WBGene00017499,NaN,1,NaN,NaN,NaN
WBGene00017500,NaN,1,NaN,NaN,NaN
WBGene00017501,NaN,1,NaN,NaN,NaN
WBGene00017502,NaN,1,NaN,NaN,NaN
WBGene00017505,NaN,1,NaN,NaN,NaN
WBGene00017506,1,NaN,NaN,NaN,NaN
WBGene00017509,NaN,1,NaN,NaN,NaN
WBGene00017510,1,NaN,NaN,NaN,NaN
WBGene00017511,NaN,1,NaN,NaN,NaN
WBGene00017513,1,NaN,NaN,NaN,NaN
WBGene00017514,NaN,1,NaN,NaN,NaN
WBGene00017516,NaN,NaN,1,NaN,NaN
WBGene00017517,NaN,1,NaN,NaN,NaN
WBGene00017518,NaN,NaN,1,NaN,NaN
WBGene00017519,NaN,NaN,1,NaN,NaN
WBGene00017521,NaN,NaN,1,NaN,NaN
WBGene00017522,NaN,1,NaN,NaN,NaN
WBGene00017523,NaN,1,NaN,NaN,NaN
WBGene00017524,NaN,1,NaN,NaN,NaN
WBGene00017525,NaN,NaN,1,NaN,NaN
WBGene00017527,NaN,NaN,1,NaN,NaN
WBGene00017528,NaN,NaN,1,NaN,NaN
WBGene00017529,NaN,1,NaN,NaN,NaN
WBGene00017530,1,NaN,NaN,NaN,NaN
WBGene00017537,1,NaN,NaN,NaN,NaN
WBGene00017539,NaN,1,NaN,NaN,NaN
WBGene00017540,NaN,1,NaN,NaN,NaN
WBGene00017541,NaN,1,NaN,NaN,NaN
WBGene00017543,1,NaN,NaN,NaN,NaN
WBGene00017544,1,NaN,NaN,NaN,NaN
WBGene00017552,1,NaN,NaN,NaN,NaN
WBGene00017557,1,NaN,NaN,NaN,NaN
WBGene00017560,NaN,1,NaN,NaN,NaN
WBGene00017564,NaN,1,NaN,NaN,NaN
WBGene00017566,NaN,1,NaN,NaN,NaN
WBGene00017567,NaN,1,NaN,NaN,NaN
WBGene00017569,1,NaN,NaN,NaN,NaN
WBGene00017570,NaN,1,NaN,NaN,NaN
WBGene00017573,NaN,1,NaN,NaN,NaN
WBGene00017574,1,NaN,NaN,NaN,NaN
WBGene00017579,NaN,NaN,1,NaN,NaN
WBGene00017580,1,NaN,NaN,NaN,NaN
WBGene00017581,NaN,1,NaN,NaN,NaN
WBGene00017585,NaN,NaN,1,NaN,NaN
WBGene00017586,NaN,NaN,1,NaN,NaN
WBGene00017588,NaN,NaN,1,NaN,NaN
WBGene00017590,NaN,1,NaN,NaN,NaN
WBGene00017594,1,NaN,NaN,NaN,NaN
WBGene00017598,1,NaN,NaN,NaN,NaN
WBGene00017599,NaN,1,NaN,NaN,NaN
WBGene00017600,NaN,1,NaN,NaN,NaN
WBGene00017601,NaN,1,NaN,NaN,NaN
WBGene00017602,NaN,1,NaN,NaN,NaN
WBGene00017603,NaN,1,NaN,NaN,NaN
WBGene00017604,NaN,NaN,1,NaN,NaN
WBGene00017609,NaN,1,NaN,NaN,NaN
WBGene00017610,1,NaN,NaN,NaN,NaN
WBGene00017611,NaN,1,NaN,NaN,NaN
WBGene00017613,NaN,1,NaN,NaN,NaN
WBGene00017615,1,NaN,NaN,NaN,NaN
WBGene00017616,1,NaN,NaN,NaN,NaN
WBGene00017618,NaN,1,NaN,NaN,NaN
WBGene00017625,1,NaN,NaN,NaN,NaN
WBGene00017628,1,NaN,NaN,NaN,NaN
WBGene00017630,NaN,1,NaN,NaN,NaN
WBGene00017633,1,NaN,NaN,NaN,NaN
WBGene00017634,NaN,1,NaN,NaN,NaN
WBGene00017637,1,NaN,NaN,NaN,NaN
WBGene00017638,1,NaN,NaN,NaN,NaN
WBGene00017645,1,NaN,NaN,NaN,NaN
WBGene00017650,NaN,1,NaN,NaN,NaN
WBGene00017652,NaN,1,NaN,NaN,NaN
WBGene00017653,1,NaN,NaN,NaN,NaN
WBGene00017655,NaN,NaN,1,NaN,NaN
WBGene00017656,NaN,1,NaN,NaN,NaN
WBGene00017658,1,NaN,NaN,NaN,NaN
WBGene00017660,NaN,1,NaN,NaN,NaN
WBGene00017661,1,NaN,NaN,NaN,NaN
WBGene00017662,NaN,NaN,1,NaN,NaN
WBGene00017666,1,NaN,NaN,NaN,NaN
WBGene00017667,1,NaN,NaN,NaN,NaN
WBGene00017668,NaN,NaN,1,NaN,NaN
WBGene00017670,NaN,NaN,1,NaN,NaN
WBGene00017677,1,NaN,NaN,NaN,NaN
WBGene00017678,1,NaN,NaN,NaN,NaN
WBGene00017680,NaN,NaN,1,NaN,NaN
WBGene00017685,NaN,NaN,1,NaN,NaN
WBGene00017688,1,NaN,NaN,NaN,NaN
WBGene00017690,1,NaN,NaN,NaN,NaN
WBGene00017692,1,NaN,NaN,NaN,NaN
WBGene00017693,NaN,1,NaN,NaN,NaN
WBGene00017694,NaN,1,NaN,NaN,NaN
WBGene00017695,NaN,1,NaN,NaN,NaN
WBGene00017700,1,NaN,NaN,NaN,NaN
WBGene00017701,NaN,NaN,1,NaN,NaN
WBGene00017704,NaN,1,NaN,NaN,NaN
WBGene00017705,1,NaN,NaN,NaN,NaN
WBGene00017706,NaN,1,NaN,NaN,NaN
WBGene00017713,NaN,NaN,1,NaN,NaN
WBGene00017715,1,NaN,NaN,NaN,NaN
WBGene00017716,1,NaN,NaN,NaN,NaN
WBGene00017717,NaN,NaN,1,NaN,NaN
WBGene00017718,NaN,1,NaN,NaN,NaN
WBGene00017723,1,NaN,NaN,NaN,NaN
WBGene00017726,NaN,1,NaN,NaN,NaN
WBGene00017727,NaN,1,NaN,NaN,NaN
WBGene00017741,NaN,1,NaN,NaN,NaN
WBGene00017743,1,NaN,NaN,NaN,NaN
WBGene00017747,1,NaN,NaN,NaN,NaN
WBGene00017756,NaN,1,NaN,NaN,NaN
WBGene00017771,1,NaN,NaN,NaN,NaN
WBGene00017781,1,NaN,NaN,NaN,NaN
WBGene00017784,NaN,1,NaN,NaN,NaN
WBGene00017787,1,NaN,NaN,NaN,NaN
WBGene00017788,NaN,1,NaN,NaN,NaN
WBGene00017789,NaN,1,NaN,NaN,NaN
WBGene00017790,NaN,NaN,1,NaN,NaN
WBGene00017791,NaN,1,NaN,NaN,NaN
WBGene00017792,NaN,1,NaN,NaN,NaN
WBGene00017794,1,NaN,NaN,NaN,NaN
WBGene00017795,1,NaN,NaN,NaN,NaN
WBGene00017804,1,NaN,NaN,NaN,NaN
WBGene00017805,1,NaN,NaN,NaN,NaN
WBGene00017806,1,NaN,NaN,NaN,NaN
WBGene00017808,1,NaN,NaN,NaN,NaN
WBGene00017809,NaN,1,NaN,NaN,NaN
WBGene00017813,NaN,1,NaN,NaN,NaN
WBGene00017814,1,NaN,NaN,NaN,NaN
WBGene00017819,NaN,1,NaN,NaN,NaN
WBGene00017821,NaN,1,NaN,NaN,NaN
WBGene00017822,NaN,1,NaN,NaN,NaN
WBGene00017824,NaN,1,NaN,NaN,NaN
WBGene00017835,1,NaN,NaN,NaN,NaN
WBGene00017836,NaN,1,NaN,NaN,NaN
WBGene00017839,NaN,1,NaN,NaN,NaN
WBGene00017841,1,NaN,NaN,NaN,NaN
WBGene00017842,1,NaN,NaN,NaN,NaN
WBGene00017845,1,NaN,NaN,NaN,NaN
WBGene00017861,1,NaN,NaN,NaN,NaN
WBGene00017862,NaN,NaN,1,NaN,NaN
WBGene00017863,NaN,NaN,1,NaN,NaN
WBGene00017865,1,NaN,NaN,NaN,NaN
WBGene00017866,1,NaN,NaN,NaN,NaN
WBGene00017867,1,NaN,NaN,NaN,NaN
WBGene00017871,NaN,1,NaN,NaN,NaN
WBGene00017872,NaN,1,NaN,NaN,NaN
WBGene00017873,1,NaN,NaN,NaN,NaN
WBGene00017875,NaN,1,NaN,NaN,NaN
WBGene00017876,NaN,1,NaN,NaN,NaN
WBGene00017878,NaN,1,NaN,NaN,NaN
WBGene00017879,1,NaN,NaN,NaN,NaN
WBGene00017880,1,NaN,NaN,NaN,NaN
WBGene00017894,NaN,1,NaN,NaN,NaN
WBGene00017896,NaN,1,NaN,NaN,NaN
WBGene00017902,1,NaN,NaN,NaN,NaN
WBGene00017906,NaN,1,NaN,NaN,NaN
WBGene00017907,NaN,1,NaN,NaN,NaN
WBGene00017915,NaN,NaN,1,NaN,NaN
WBGene00017918,NaN,1,NaN,NaN,NaN
WBGene00017923,NaN,1,NaN,NaN,NaN
WBGene00017927,NaN,NaN,1,NaN,NaN
WBGene00017935,NaN,1,NaN,NaN,NaN
WBGene00017936,1,NaN,NaN,NaN,NaN
WBGene00017938,NaN,1,NaN,NaN,NaN
WBGene00017945,NaN,1,NaN,NaN,NaN
WBGene00017952,NaN,NaN,1,NaN,NaN
WBGene00017953,NaN,NaN,1,NaN,NaN
WBGene00017959,1,NaN,NaN,NaN,NaN
WBGene00017960,1,NaN,NaN,NaN,NaN
WBGene00017962,NaN,1,NaN,NaN,NaN
WBGene00017963,1,NaN,NaN,NaN,NaN
WBGene00017966,NaN,NaN,1,NaN,NaN
WBGene00017973,1,NaN,NaN,NaN,NaN
WBGene00017976,1,NaN,NaN,NaN,NaN
WBGene00017991,1,NaN,NaN,NaN,NaN
WBGene00017995,1,NaN,NaN,NaN,NaN
WBGene00018000,1,NaN,NaN,NaN,NaN
WBGene00018002,1,NaN,NaN,NaN,NaN
WBGene00018003,NaN,1,NaN,NaN,NaN
WBGene00018020,1,NaN,NaN,NaN,NaN
WBGene00018022,NaN,1,NaN,NaN,NaN
WBGene00018024,1,NaN,NaN,NaN,NaN
WBGene00018025,NaN,1,NaN,NaN,NaN
WBGene00018026,1,NaN,NaN,NaN,NaN
WBGene00018027,NaN,1,NaN,NaN,NaN
WBGene00018030,NaN,NaN,1,NaN,NaN
WBGene00018031,1,NaN,NaN,NaN,NaN
WBGene00018034,NaN,1,NaN,NaN,NaN
WBGene00018036,1,NaN,NaN,NaN,NaN
WBGene00018039,NaN,1,NaN,NaN,NaN
WBGene00018040,1,NaN,NaN,NaN,NaN
WBGene00018041,1,NaN,NaN,NaN,NaN
WBGene00018042,1,NaN,NaN,NaN,NaN
WBGene00018043,1,NaN,NaN,NaN,NaN
WBGene00018047,NaN,1,NaN,NaN,NaN
WBGene00018048,NaN,1,NaN,NaN,NaN
WBGene00018049,NaN,1,NaN,NaN,NaN
WBGene00018050,NaN,1,NaN,NaN,NaN
WBGene00018053,NaN,1,NaN,NaN,NaN
WBGene00018055,NaN,1,NaN,NaN,NaN
WBGene00018056,1,NaN,NaN,NaN,NaN
WBGene00018057,1,NaN,NaN,NaN,NaN
WBGene00018058,NaN,1,NaN,NaN,NaN
WBGene00018059,NaN,NaN,1,NaN,NaN
WBGene00018062,NaN,1,NaN,NaN,NaN
WBGene00018063,NaN,1,NaN,NaN,NaN
WBGene00018066,NaN,NaN,1,NaN,NaN
WBGene00018067,NaN,1,NaN,NaN,NaN
WBGene00018069,1,NaN,NaN,NaN,NaN
WBGene00018078,1,NaN,NaN,NaN,NaN
WBGene00018079,NaN,NaN,1,NaN,NaN
WBGene00018080,NaN,1,NaN,NaN,NaN
WBGene00018082,NaN,1,NaN,NaN,NaN
WBGene00018084,NaN,NaN,1,NaN,NaN
WBGene00018086,NaN,NaN,1,NaN,NaN
WBGene00018091,1,NaN,NaN,NaN,NaN
WBGene00018096,NaN,1,NaN,NaN,NaN
WBGene00018102,NaN,1,NaN,NaN,NaN
WBGene00018105,1,NaN,NaN,NaN,NaN
WBGene00018107,NaN,1,NaN,NaN,NaN
WBGene00018108,NaN,1,NaN,NaN,NaN
WBGene00018110,NaN,1,NaN,NaN,NaN
WBGene00018112,1,NaN,NaN,NaN,NaN
WBGene00018114,1,NaN,NaN,NaN,NaN
WBGene00018115,1,NaN,NaN,NaN,NaN
WBGene00018116,NaN,NaN,1,NaN,NaN
WBGene00018117,NaN,1,NaN,NaN,NaN
WBGene00018122,1,NaN,NaN,NaN,NaN
WBGene00018123,1,NaN,NaN,NaN,NaN
WBGene00018124,1,NaN,NaN,NaN,NaN
WBGene00018136,1,NaN,NaN,NaN,NaN
WBGene00018139,1,NaN,NaN,NaN,NaN
WBGene00018141,1,NaN,NaN,NaN,NaN
WBGene00018142,1,NaN,NaN,NaN,NaN
WBGene00018143,1,NaN,NaN,NaN,NaN
WBGene00018148,NaN,1,NaN,NaN,NaN
WBGene00018153,NaN,1,NaN,NaN,NaN
WBGene00018155,NaN,1,NaN,NaN,NaN
WBGene00018157,1,NaN,NaN,NaN,NaN
WBGene00018162,NaN,1,NaN,NaN,NaN
WBGene00018166,NaN,1,NaN,NaN,NaN
WBGene00018167,NaN,1,NaN,NaN,NaN
WBGene00018169,NaN,1,NaN,NaN,NaN
WBGene00018170,NaN,1,NaN,NaN,NaN
WBGene00018172,1,NaN,NaN,NaN,NaN
WBGene00018173,NaN,1,NaN,NaN,NaN
WBGene00018175,1,NaN,NaN,NaN,NaN
WBGene00018176,1,NaN,NaN,NaN,NaN
WBGene00018179,NaN,1,NaN,NaN,NaN
WBGene00018180,1,NaN,NaN,NaN,NaN
WBGene00018182,NaN,1,NaN,NaN,NaN
WBGene00018183,NaN,NaN,1,NaN,NaN
WBGene00018188,NaN,1,NaN,NaN,NaN
WBGene00018190,NaN,1,NaN,NaN,NaN
WBGene00018191,1,NaN,NaN,NaN,NaN
WBGene00018192,NaN,NaN,1,NaN,NaN
WBGene00018195,1,NaN,NaN,NaN,NaN
WBGene00018200,1,NaN,NaN,NaN,NaN
WBGene00018201,1,NaN,NaN,NaN,NaN
WBGene00018205,NaN,1,NaN,NaN,NaN
WBGene00018211,NaN,1,NaN,NaN,NaN
WBGene00018213,1,NaN,NaN,NaN,NaN
WBGene00018214,1,NaN,NaN,NaN,NaN
WBGene00018215,1,NaN,NaN,NaN,NaN
WBGene00018216,1,NaN,NaN,NaN,NaN
WBGene00018217,1,NaN,NaN,NaN,NaN
WBGene00018219,1,NaN,NaN,NaN,NaN
WBGene00018228,1,NaN,NaN,NaN,NaN
WBGene00018229,NaN,NaN,1,NaN,NaN
WBGene00018231,NaN,NaN,1,NaN,NaN
WBGene00018233,NaN,1,NaN,NaN,NaN
WBGene00018234,NaN,NaN,1,NaN,NaN
WBGene00018243,NaN,1,NaN,NaN,NaN
WBGene00018244,NaN,NaN,1,NaN,NaN
WBGene00018247,NaN,1,NaN,NaN,NaN
WBGene00018250,NaN,1,NaN,NaN,NaN
WBGene00018255,NaN,1,NaN,NaN,NaN
WBGene00018257,1,NaN,NaN,NaN,NaN
WBGene00018258,NaN,1,NaN,NaN,NaN
WBGene00018262,1,NaN,NaN,NaN,NaN
WBGene00018264,1,NaN,NaN,NaN,NaN
WBGene00018266,NaN,1,NaN,NaN,NaN
WBGene00018267,NaN,NaN,1,NaN,NaN
WBGene00018268,1,NaN,NaN,NaN,NaN
WBGene00018271,1,NaN,NaN,NaN,NaN
WBGene00018272,1,NaN,NaN,NaN,NaN
WBGene00018273,NaN,1,NaN,NaN,NaN
WBGene00018275,1,NaN,NaN,NaN,NaN
WBGene00018276,NaN,NaN,1,NaN,NaN
WBGene00018277,NaN,NaN,1,NaN,NaN
WBGene00018278,NaN,1,NaN,NaN,NaN
WBGene00018279,NaN,NaN,1,NaN,NaN
WBGene00018282,1,NaN,NaN,NaN,NaN
WBGene00018291,NaN,NaN,1,NaN,NaN
WBGene00018292,NaN,1,NaN,NaN,NaN
WBGene00018293,1,NaN,NaN,NaN,NaN
WBGene00018295,1,NaN,NaN,NaN,NaN
WBGene00018297,1,NaN,NaN,NaN,NaN
WBGene00018298,NaN,1,NaN,NaN,NaN
WBGene00018299,NaN,1,NaN,NaN,NaN
WBGene00018300,NaN,1,NaN,NaN,NaN
WBGene00018303,1,NaN,NaN,NaN,NaN
WBGene00018307,1,NaN,NaN,NaN,NaN
WBGene00018311,NaN,1,NaN,NaN,NaN
WBGene00018312,1,NaN,NaN,NaN,NaN
WBGene00018314,NaN,1,NaN,NaN,NaN
WBGene00018323,1,NaN,NaN,NaN,NaN
WBGene00018324,NaN,NaN,1,NaN,NaN
WBGene00018327,1,NaN,NaN,NaN,NaN
WBGene00018338,NaN,1,NaN,NaN,NaN
WBGene00018342,1,NaN,NaN,NaN,NaN
WBGene00018343,1,NaN,NaN,NaN,NaN
WBGene00018344,1,NaN,NaN,NaN,NaN
WBGene00018346,NaN,1,NaN,NaN,NaN
WBGene00018348,1,NaN,NaN,NaN,NaN
WBGene00018354,1,NaN,NaN,NaN,NaN
WBGene00018365,1,NaN,NaN,NaN,NaN
WBGene00018367,1,NaN,NaN,NaN,NaN
WBGene00018373,1,NaN,NaN,NaN,NaN
WBGene00018376,1,NaN,NaN,NaN,NaN
WBGene00018377,NaN,1,NaN,NaN,NaN
WBGene00018378,NaN,NaN,1,NaN,NaN
WBGene00018379,NaN,NaN,1,NaN,NaN
WBGene00018380,NaN,1,NaN,NaN,NaN
WBGene00018381,NaN,NaN,1,NaN,NaN
WBGene00018384,1,NaN,NaN,NaN,NaN
WBGene00018385,1,NaN,NaN,NaN,NaN
WBGene00018389,NaN,NaN,1,NaN,NaN
WBGene00018396,NaN,NaN,1,NaN,NaN
WBGene00018400,NaN,1,NaN,NaN,NaN
WBGene00018403,1,NaN,NaN,NaN,NaN
WBGene00018404,1,NaN,NaN,NaN,NaN
WBGene00018405,1,NaN,NaN,NaN,NaN
WBGene00018406,NaN,1,NaN,NaN,NaN
WBGene00018411,1,NaN,NaN,NaN,NaN
WBGene00018412,1,NaN,NaN,NaN,NaN
WBGene00018413,1,NaN,NaN,NaN,NaN
WBGene00018414,1,NaN,NaN,NaN,NaN
WBGene00018415,NaN,1,NaN,NaN,NaN
WBGene00018416,NaN,NaN,1,NaN,NaN
WBGene00018428,NaN,1,NaN,NaN,NaN
WBGene00018432,NaN,1,NaN,NaN,NaN
WBGene00018434,NaN,1,NaN,NaN,NaN
WBGene00018440,NaN,1,NaN,NaN,NaN
WBGene00018447,NaN,1,NaN,NaN,NaN
WBGene00018448,1,NaN,NaN,NaN,NaN
WBGene00018454,NaN,1,NaN,NaN,NaN
WBGene00018457,NaN,1,NaN,NaN,NaN
WBGene00018459,1,NaN,NaN,NaN,NaN
WBGene00018460,1,NaN,NaN,NaN,NaN
WBGene00018461,1,NaN,NaN,NaN,NaN
WBGene00018462,NaN,1,NaN,NaN,NaN
WBGene00018463,NaN,1,NaN,NaN,NaN
WBGene00018465,1,NaN,NaN,NaN,NaN
WBGene00018470,1,NaN,NaN,NaN,NaN
WBGene00018472,1,NaN,NaN,NaN,NaN
WBGene00018476,NaN,1,NaN,NaN,NaN
WBGene00018478,1,NaN,NaN,NaN,NaN
WBGene00018484,1,NaN,NaN,NaN,NaN
